,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,énergétique Koolhydraten/Glucides suiker/dont,Glucides,verzadigde gras sel de per Journaliers,100.0,2.0
1,,sucres,"Sucres, sucre",,100.0,0.0
2,,saturés,"Acides gras saturés, Saturés, AGS",,100.0,0.0
3,,alimentaires,"Fibres alimentaires,fibres, fibre, fibre alimentaire",,100.0,0.0
4,,acides Voedingsvezels/Fibres Natrium/Sodium kcal,Sodium,acides Voedingsvezels/Fibres Natrium/Sodium kcal,100.0,1.0
5,,waarvan Equivalent *GDA-Van 2000,Equivalent en sel,waarvan Equivalent *GDA-Van 2000,74.0,5.0
6,,nutritionnelles/100g,Note nutritionnelle,nutritionnelles/100g,77.0,4.0
7,https://static.openfoodfacts.org/images/products/20048402/nutrition_fr.5.400.jpg,,,,,
