,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,Énergie,"Énergie, valeurs énergétique, valeur énergétique",2003 kJ 487 kcal,100.0,7.0
1,,Protéines,"Protéines, Protéine brute","0,1 g",100.0,3.0
2,,Glucides,Glucides,"0,2 g",100.0,3.0
3,,dont sucres,"Sucres, sucre","0,2 g",71.0,3.0
4,,Matières grasses,"Matières grasses / Lipides, Matières grasses, Matière grasse, Lipides, Graisses, Graisse",54 g,100.0,3.0
5,,dont acides gras saturés,"Acides gras saturés, Saturés, AGS",14g,90.0,3.0
6,,Sel,"Sel, Sel alimentaire, sel de table, sel de cuisine, sel sec, sel comestible","0,40 g",100.0,4.0
7,,DECLARATION NUTRITIONNELLE,Note nutritionnelle,,85.0,0.0
8,https://static.openfoodfacts.org/images/products/20615284/nutrition_fr.25.400.jpg,,,,,
