,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,"4,2 g-Glucides 32 g, dont",Glucides,"4,2 g-Glucides 32 g, dont",100.0,7.0
1,,sucres,"Sucres, sucre",,100.0,0.0
2,,des AR -Matières grasses,"Matières grasses / Lipides, Matières grasses, Matière grasse, Lipides, Graisses, Graisse",Energie 992 kJ (237 kcal) soit 12%,81.0,9.0
3,,"9,5 g, dont acides gras saturés","Acides gras saturés, Saturés, AGS","4,2 g-Glucides 32 g, dont",90.0,7.0
4,https://static.openfoodfacts.org/images/products/000/024/101/3128/nutrition_fr.10.400.jpg,,,,,
