,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,Valeurs,"Énergie, valeurs énergétique, valeur énergétique",,100.0,0.0
1,,Glucides,Glucides,13%,100.0,2.0
2,,-dont sucres,"Sucres, sucre",1%,71.0,1.0
3,,"4,4 g Matières grasses","Matières grasses / Lipides, Matières grasses, Matière grasse, Lipides, Graisses, Graisse",149 20%,88.0,5.0
4,,gras,"Acides gras saturés, Saturés, AGS",gras,100.0,1.0
5,https://static.openfoodfacts.org/images/products/26019420/nutrition_fr.7.400.jpg,,,,,
