,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,Protéines,"Protéines, Protéine brute",,100.0,0.0
1,,Glucides,Glucides,"0,19",100.0,3.0
2,,dont sucres,"Sucres, sucre",,71.0,0.0
3,,grasses,"Matières grasses / Lipides, Matières grasses, Matière grasse, Lipides, Graisses, Graisse",80g,100.0,3.0
4,,gras saturés,"Acides gras saturés, Saturés, AGS",53 g,100.0,3.0
5,,Sel,"Sel, Sel alimentaire, sel de table, sel de cuisine, sel sec, sel comestible",,100.0,0.0
6,https://static.openfoodfacts.org/images/products/26065755/nutrition_fr.8.400.jpg,,,,,
