,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,% des.,Énergie provenant des graisses,beignet*,100.0,1.0
1,,ncides,Nucléotides,20g,75.0,3.0
2,,Matières grasses,"Matières grasses / Lipides, Matières grasses, Matière grasse, Lipides, Graisses, Graisse","1,7g",100.0,3.0
3,,dont acides aras saturés,"Acides gras saturés, Saturés, AGS",57 12%,80.0,4.0
4,,alimentaires,"Fibres alimentaires,fibres, fibre, fibre alimentaire","3,8g 54a",100.0,5.0
5,,mations utritionnelles,Note nutritionnelle,beignet*,73.0,1.0
6,https://static.openfoodfacts.org/images/products/000/024/701/6406/nutrition_fr.10.400.jpg,,,,,
