,0,label found,nut_from_taxonomy,quantity,score_label,score_quant
0,,Energy kJ/Energie/Energie,Energy,76 446,100.0,5.0
1,,Carbohydrate/Glucides/Kool,Carbohydrate,hydraten 34.7g 5.9g,100.0,7.0
2,,of which sugars,Sugars,of which sugars,100.0,1.0
3,,Fat/Matières grasses/Vetten,Fat,11.0g 1.9g,100.0,7.0
4,,Suitable for vegetarians NUTRITION Serves/Portions/Porties:,Nutrition grade,per 15| per 100g cookie (17.19J,75.0,10.0
5,https://static.openfoodfacts.org/images/products/00011686/nutrition_fr.17.400.jpg,,,,,
